,id,title,department,location,date_added,link
27,jotTitle_REQ-200412102,"AI/ML - Intern (data-centric ML), ML Platform & Technologies",Machine Learning and AI,Heidelberg,"Nov 1, 2022",https://jobs.apple.com/en-us/details/200412102/ai-ml-intern-data-centric-ml-ml-platform-technologies?team=MLAI
28,jotTitle_PIPE-200427977,PMU Analog Mixed-Signal Design Verification Intern (m/f/d),Hardware,Munich,"Oct 27, 2022",https://jobs.apple.com/en-us/details/200427977/pmu-analog-mixed-signal-design-verification-intern-m-f-d?team=HRDWR
29,jotTitle_PIPE-200433441,PMU Analog Mixed-Signal Design Verification Intern (m/f/d),Hardware,Nabern,"Oct 27, 2022",https://jobs.apple.com/en-us/details/200433441/pmu-analog-mixed-signal-design-verification-intern-m-f-d?team=HRDWR
30,jotTitle_PIPE-200289056,Analog Mixed Signal Design Verification Engineer,Hardware,Munich,"Oct 27, 2022",https://jobs.apple.com/en-us/details/200289056/analog-mixed-signal-design-verification-engineer?team=HRDWR
31,jotTitle_PIPE-200414977,Design Verification Intern (m/f/d),Hardware,Munich,"Oct 20, 2022",https://jobs.apple.com/en-us/details/200414977/design-verification-intern-m-f-d?team=HRDWR
32,jotTitle_PIPE-200371602,Digital Designer - Power Management (m/f/d),Hardware,Nabern,"Oct 20, 2022",https://jobs.apple.com/en-us/details/200371602/digital-designer-power-management-m-f-d?team=HRDWR
33,jotTitle_REQ-200411357,"AI/ML - Intern (Engineering Program Management, MLPT",Software and Services,Heidelberg,"Oct 20, 2022",https://jobs.apple.com/en-us/details/200411357/ai-ml-intern-engineering-program-management-mlpt?team=SFTWR
34,jotTitle_REQ-200431398,"SWE - Modem System Test Engineer (Functional), WTE",Software and Services,Munich,"Oct 18, 2022",https://jobs.apple.com/en-us/details/200431398/swe-modem-system-test-engineer-functional-wte?team=SFTWR
35,jotTitle_PIPE-200434168,AMS Lab Validation Intern (m/f/d),Hardware,Munich,"Oct 17, 2022",https://jobs.apple.com/en-us/details/200434168/ams-lab-validation-intern-m-f-d?team=HRDWR
36,jotTitle_REQ-200433299,Cellular Performance Engineer,Software and Services,Munich,"Oct 14, 2022",https://jobs.apple.com/en-us/details/200433299/cellular-performance-engineer?team=SFTWR
37,jotTitle_REQ-200425203,AR/VR Connectivity Research Engineer,Machine Learning and AI,Munich,"Oct 10, 2022",https://jobs.apple.com/en-us/details/200425203/ar-vr-connectivity-research-engineer?team=MLAI
38,jotTitle_PIPE-200359759,"AI/ML - Annotation Analyst, German Language",Machine Learning and AI,Berlin,"Oct 7, 2022",https://jobs.apple.com/en-us/details/200359759/ai-ml-annotation-analyst-german-language?team=MLAI
39,jotTitle_REQ-200237231,"SWE - Cellular Protocol Development Engineer, WTE",Software and Services,Munich,"Sep 30, 2022",https://jobs.apple.com/en-us/details/200237231/swe-cellular-protocol-development-engineer-wte?team=SFTWR
40,jotTitle_REQ-200417383,"SW Development Automation Engineer, Wireless Technologies & Ecosystems",Software and Services,Munich,"Sep 29, 2022",https://jobs.apple.com/en-us/details/200417383/sw-development-automation-engineer-wireless-technologies-ecosystems?team=SFTWR
41,jotTitle_PIPE-200389877,Analog Design and Validation Engineer (m/f/d),Hardware,Munich,"Sep 28, 2022",https://jobs.apple.com/en-us/details/200389877/analog-design-and-validation-engineer-m-f-d?team=HRDWR
42,jotTitle_PIPE-200393376,Silicon Validation Engineer (m/f/d),Hardware,Munich,"Sep 26, 2022",https://jobs.apple.com/en-us/details/200393376/silicon-validation-engineer-m-f-d?team=HRDWR
43,jotTitle_PIPE-200224045,SoC DfT Engineer,Hardware,Munich,"Sep 23, 2022",https://jobs.apple.com/en-us/details/200224045/soc-dft-engineer?team=HRDWR
44,jotTitle_PIPE-200240428,High Speed Logic Design Engineer (m/f/d),Hardware,Munich,"Sep 22, 2022",https://jobs.apple.com/en-us/details/200240428/high-speed-logic-design-engineer-m-f-d?team=HRDWR
45,jotTitle_PIPE-200315855,Analog Design Engineer (f/m/d),Hardware,Munich,"Sep 22, 2022",https://jobs.apple.com/en-us/details/200315855/analog-design-engineer-f-m-d?team=HRDWR
46,jotTitle_PIPE-200390433,Analog IC Design Engineer (f/m/d),Hardware,Munich,"Sep 22, 2022",https://jobs.apple.com/en-us/details/200390433/analog-ic-design-engineer-f-m-d?team=HRDWR
47,jotTitle_PIPE-200224781,AMS Lab Validation Engineer (m/f/d),Hardware,Munich,"Sep 22, 2022",https://jobs.apple.com/en-us/details/200224781/ams-lab-validation-engineer-m-f-d?team=HRDWR
48,jotTitle_PIPE-200216864,Analog Design Engineer (m/f/d),Hardware,Munich,"Sep 22, 2022",https://jobs.apple.com/en-us/details/200216864/analog-design-engineer-m-f-d?team=HRDWR
49,jotTitle_PIPE-200399759,Junior Lab Validation Engineer (m/f/d),Hardware,Munich,"Sep 22, 2022",https://jobs.apple.com/en-us/details/200399759/junior-lab-validation-engineer-m-f-d?team=HRDWR
50,jotTitle_PIPE-200332733,Camera Hardware – Photonic Engineer (m/f/d),Hardware,Munich,"Sep 22, 2022",https://jobs.apple.com/en-us/details/200332733/camera-hardware-photonic-engineer-m-f-d?team=HRDWR
51,jotTitle_REQ-200411261,AI/ML - Intern (Neural Language Modeling Research Scientist) - SaLT,Machine Learning and AI,Aachen,"Sep 16, 2022",https://jobs.apple.com/en-us/details/200411261/ai-ml-intern-neural-language-modeling-research-scientist-salt?team=MLAI
52,jotTitle_PIPE-200425657,HPC and Grid System Engineer,Hardware,Munich,"Sep 15, 2022",https://jobs.apple.com/en-us/details/200425657/hpc-and-grid-system-engineer?team=HRDWR
53,jotTitle_PIPE-200401358,Front End CAD Engineer - Logic Equivalence,Hardware,Munich,"Sep 6, 2022",https://jobs.apple.com/en-us/details/200401358/front-end-cad-engineer-logic-equivalence?team=HRDWR
54,jotTitle_PIPE-200229327,AMS Analog Layout Engineer (f/m/d),Hardware,Munich,"Aug 30, 2022",https://jobs.apple.com/en-us/details/200229327/ams-analog-layout-engineer-f-m-d?team=HRDWR
55,jotTitle_PIPE-200417771,RF/mmW Device Engineer (m/f/d),Hardware,Munich,"Aug 29, 2022",https://jobs.apple.com/en-us/details/200417771/rf-mmw-device-engineer-m-f-d?team=HRDWR
56,jotTitle_REQ-200417371,"AI/ML - Intern (Machine Translation), Machine Intelligence",Machine Learning and AI,Aachen,"Aug 24, 2022",https://jobs.apple.com/en-us/details/200417371/ai-ml-intern-machine-translation-machine-intelligence?team=MLAI
57,jotTitle_PIPE-200415075,Design For Test Intern (m/f/d),Hardware,Munich,"Aug 17, 2022",https://jobs.apple.com/en-us/details/200415075/design-for-test-intern-m-f-d?team=HRDWR
58,jotTitle_REQ-200409436,Manufacturing Engineer,Operations and Supply Chain,Munich,"Aug 17, 2022",https://jobs.apple.com/en-us/details/200409436/manufacturing-engineer?team=OPMFG
59,jotTitle_PIPE-200408861,"QA Engineer, AR Applications",Software and Services,Munich,"Aug 5, 2022",https://jobs.apple.com/en-us/details/200408861/qa-engineer-ar-applications?team=SFTWR
60,jotTitle_REQ-200373922,"SWE - Stability Test Engineer (Wireless Products), WTE",Software and Services,Munich,"Aug 3, 2022",https://jobs.apple.com/en-us/details/200373922/swe-stability-test-engineer-wireless-products-wte?team=SFTWR
61,jotTitle_REQ-200388726,"SWE - Embedded Software Engineer, WTE",Software and Services,Munich,"Jul 20, 2022",https://jobs.apple.com/en-us/details/200388726/swe-embedded-software-engineer-wte?team=SFTWR
62,jotTitle_PIPE-200296344,Cellular RF Receiver Systems Engineering Intern/ Working Student/ PhD Student - Focus on DSP (m/f/d),Hardware,Munich,"Jun 27, 2022",https://jobs.apple.com/en-us/details/200296344/cellular-rf-receiver-systems-engineering-intern-working-student-phd-student-focus-on-dsp-m-f-d?team=HRDWR
63,jotTitle_PIPE-200393313,"Client Partner, Search Ads (CEE team)",Sales and Business Development,Berlin,"Jun 20, 2022",https://jobs.apple.com/en-us/details/200393313/client-partner-search-ads-cee-team?team=SLDEV
64,jotTitle_PIPE-200393322,"Client Partner, Search Ads (DACH team)",Sales and Business Development,Berlin,"Jun 20, 2022",https://jobs.apple.com/en-us/details/200393322/client-partner-search-ads-dach-team?team=SLDEV
65,jotTitle_PIPE-200393371,Platform Engineering / FPGA Engineer (m/f/d),Hardware,Munich,"Jun 20, 2022",https://jobs.apple.com/en-us/details/200393371/platform-engineering-fpga-engineer-m-f-d?team=HRDWR
66,jotTitle_PIPE-200385640,PMIC Engineering Program Manager,Hardware,Munich,"May 27, 2022",https://jobs.apple.com/en-us/details/200385640/pmic-engineering-program-manager?team=HRDWR
67,jotTitle_PIPE-200351865,"AI/ML - Annotation Analyst, German Market",Machine Learning and AI,Berlin,"May 23, 2022",https://jobs.apple.com/en-us/details/200351865/ai-ml-annotation-analyst-german-market?team=MLAI
68,jotTitle_PIPE-200382498,Cellular System Engineering Intern (m/f/d),Hardware,Munich,"May 20, 2022",https://jobs.apple.com/en-us/details/200382498/cellular-system-engineering-intern-m-f-d?team=HRDWR
69,jotTitle_REQ-200364937,"SWE - Software Integration Engineer, WTE",Software and Services,Munich,"May 9, 2022",https://jobs.apple.com/en-us/details/200364937/swe-software-integration-engineer-wte?team=SFTWR
70,jotTitle_PIPE-200355695,Graduate DFT Engineer,Hardware,Munich,"May 3, 2022",https://jobs.apple.com/en-us/details/200355695/graduate-dft-engineer?team=HRDWR
71,jotTitle_PIPE-200355688,DFT Junior Engineer,Hardware,Munich,"Mar 11, 2022",https://jobs.apple.com/en-us/details/200355688/dft-junior-engineer?team=HRDWR
72,jotTitle_REQ-200295022,"Client Partner Lead, Games",Sales and Business Development,Berlin,"Oct 6, 2021",https://jobs.apple.com/en-us/details/200295022/client-partner-lead-games?team=SLDEV
